Match,Competition,Date,Position,Minutes played,Total actions / successful,,Goals,Assists,Shots / on target,,xG,Passes / accurate,,Long passes / accurate,,Crosses / accurate,,Dribbles / successful,,Duels / won,,Aerial duels / won,,Interceptions,Losses / own half,,Recoveries / opp. half,,Yellow card,Red card
Belmont Bruins - Georgia State Panthers 2:1 (E),United States. NCAA D1 Non-conference matches,2021-09-11,AMF,112,60,31,0,0,1,0,0.01,29,22,2,1,1,0,3,1,22,9,6,0,5,12,1,6,3,0,0
Belmont Bruins - SIUE Cougars 1:0,United States. NCAA D1 Non-conference matches,2021-09-07,"AMF, LDMF",84,43,14,1,0,1,1,0.39,12,9,2,1,1,0,2,0,17,4,8,2,2,13,2,4,2,0,0
Central Arkansas Bears - Belmont Bruins 1:0,United States. NCAA D1 Non-conference matches,2021-08-30,"LCMF, RCMF",72,42,24,0,0,0,0,0,25,16,3,2,0,0,1,0,15,8,4,3,3,14,7,5,1,0,0
Missouri State Bears - Belmont Bruins 3:1,United States. NCAA D1 Non-conference matches,2021-08-27,"AMF, RCMF, CF",90,56,26,0,0,0,0,0,25,21,1,1,0,0,1,0,11,4,1,0,2,7,2,6,0,0,0
UNCG Spartans - Belmont Bruins 1:0,United States. NCAA D1 Southern,2021-04-18,"RCMF, CF",96,89,36,0,0,2,0,0.57,32,19,6,3,0,0,1,1,43,17,12,4,3,24,5,13,6,87,0
Furman Paladins - Belmont Bruins 1:3,United States. NCAA D1 Southern,2021-04-10,"CF, RCMF",92,73,33,1,1,2,1,0.28,22,18,2,2,0,0,4,3,33,13,13,2,4,9,2,7,3,0,0
Belmont Bruins - Furman Paladins 0:3,United States. NCAA D1 Southern,2021-03-31,"CF, RCMF",87,59,29,0,0,1,0,0.33,30,21,3,0,1,0,3,1,19,8,5,2,5,13,3,4,3,0,0
UNCG Spartans - Belmont Bruins 3:2,United States. NCAA D1 Southern,2021-03-27,CF,86,88,52,0,0,1,0,0.1,42,34,4,1,0,0,4,3,35,16,6,2,2,11,3,5,3,0,0
ETSU Buccaneers - Belmont Bruins 0:0,United States. NCAA D1 Southern,2021-03-23,"RCMF, CF",89,58,27,0,0,2,0,0.15,24,17,2,0,1,1,3,0,25,10,3,1,3,12,2,10,7,0,0
Belmont Bruins - VMI Keydets 5:0,United States. NCAA D1 Southern,2021-03-16,"LCMF, CF",79,49,33,1,0,3,2,0.15,26,20,1,0,0,0,1,1,16,10,6,3,1,6,1,4,3,0,0
Wofford Terriers - Belmont Bruins 0:1,United States. NCAA D1 Southern,2021-03-13,CF,87,47,20,1,0,1,1,0.68,17,13,1,0,1,0,4,0,20,6,2,1,7,10,2,5,2,0,0
Trevecca Nazarene Trojans - Belmont Bruins 1:2,United States. NCAA D1 Non-conference matches,2021-03-06,"AMF, LDMF",66,52,37,0,0,1,0,0.12,33,30,3,2,0,0,1,1,13,6,7,3,1,7,3,6,4,0,0
Belmont Bruins - Lipscomb Bisons 2:1 (E),United States. NCAA D1 Non-conference matches,2021-03-03,AMF,55,54,22,0,0,0,0,0,21,15,1,0,1,0,3,2,21,7,6,2,1,12,4,2,1,0,0
Bellarmine Knights - Belmont Bruins 0:3,United States. NCAA D1 Non-conference matches,2021-02-21,AMF,39,21,10,2,0,2,2,0.39,6,5,1,0,0,0,1,1,8,3,1,0,2,4,1,3,1,0,0
